Id;UberId;PastatsId;GamesPlayed;Name
55;17992818032614000000;0;0;Shaztic101
56;6503237807853190000;0;0;Didida
57;1441102907748170000;0;0;KaiserPinguin
58;12386001450802600000;0;0;ludovic.jagneau
59;11268636814850200000;0;0;Shinne
60;17901395972511500000;0;2;STACHURSKY, THE SCUMBAG
61;13378468658961900000;0;0;Przemek2122
62;14395930887026600000;0;0;Drevar
63;15168162108192300000;0;0;Darkjeson55
64;14581000129388900000;0;6;Suzume Hiyohiyo
65;11902567289399100000;0;8;aulus_jpn
66;17223477288027100000;0;0;Spassky
67;4936306995155190000;0;0;Argishti
68;16481647527092800000;0;2;norisa1
69;1403454099881270000;0;2;Norstan
70;7016442813325810000;0;0;CaptN_Mattyghan
71;3572127449661920000;0;0;antonmi
72;13481830839300400000;0;0;II HADES II
73;430237715200980000;0;52;hans (6)
74;1239855512923150000;0;7;S. Kays - Sp Op Div (RU)
75;14521738201047300000;0;7;Masdar (1)
76;4477631975028680000;0;1;Captain_obvious
77;13408129129422200000;0;1;romainbeney
78;10742254737501200000;0;0;The Commissar
79;4528549602478440000;0;2;potnoodle432
80;1327622412705410000;0;0;SantaCreep
81;5228555323857140000;0;0;TangentCrab
82;9145302530050760000;0;0;SmokingChicken
83;16085196402453200000;0;18;[NLD]Robert8034
84;2475469514070240000;0;0;Emperor Heisenberg
85;16974395209446900000;0;2;woop2000 #KIWH
86;2935679456658600000;0;2;Geteisem
87;210262262657959000;0;2;MrBoxhead
88;10173254170010400000;0;2;MBB
89;7596697911681930000;0;2;Nimble Navigator Trump
90;5861638987922920000;0;2;Trollsommor
91;15826807640742900000;0;0;mistergab
92;12212921466656300000;0;0;ibart
93;843059270505193000;0;1;a.spoladore87
94;3103310725000470000;0;2;RVS
95;9274083228635100000;0;0;HD[ vitek3ds ]
96;6657122769593330000;0;2;Seven Proxies (1)
97;2830369225204110000;0;3;iK Gosling
98;10158364013193800000;0;0;Nuc
99;84969948453016800;0;2;Grace | ?•?•?
100;7061860308842730000;0;2;Doctor Satan [U!]
101;7956718381735930000;0;0;janik-bey
102;16423480825137700000;0;2;Der Dome
103;5703448837937590000;0;2;simon003
104;3382402216398240000;0;1;Jtox|IGC|TMLB Dato1968
105;8754171976233880000;0;0;SCP-2295
106;11845101869047400000;0;0;Zeckrox | Csgospeed.com
107;6817409568308840000;0;0;Kazzis Tuas!
108;9272243651263310000;0;0;atakurt
109;6808967392286080000;0;0;oguz
110;3411539639346690000;0;0;Pyner
111;18045664040500300000;0;0;uCk (1)
112;2525204752557820000;0;1;An Anemic Anemone
113;5789637888579510000;0;1;Kriid (1)
114;10050120356126000000;0;1;WORST PLAYER EU
115;13882957685126600000;0;0;jegolas-_-
116;4405558108716810000;0;1;best98244882
117;3806943848707940000;0;0;Benji (9)
118;17352250032510400000;0;0;wrathkin
119;10002465084329600000;0;0;nicraft
120;9093456520168830000;0;0;asdfghjk
121;4174304838596080000;0;1;#NAME?
122;2549099294284300000;0;1;Dan-BLAST
123;4599571627460250000;0;0;ChevyCobalt
124;2794286510924120000;0;0;Marshy Marsh
125;2770473004605990000;0;1;antiquegame
126;3403011720391580000;0;1;tueurdedieux
127;7398580920203990000;0;1;The 8th Sin
128;11911805543329400000;0;2;Boissey / 8th Sin
129;1710468456418350000;0;0;d0!nk
130;14740447736969300000;0;0;SPUTNIK (1)
131;14298864987420200000;0;0;Delta (27)
132;9797763211614180000;0;4;GlobalMegalord
133;1783794288534050000;0;1;Rayo14
134;5089377901521590000;0;1;Danielus04
135;12139291449582800000;0;0;VENT34
136;9389716811477940000;0;0;Psycore_Lemon
137;3291109602762800000;0;4;7thsanctum
138;2471672691638400000;0;0;TheNukeGuy
139;11299064919405500000;0;2;MatrixPegaz
140;8061606950855560000;0;247;kingofnorthstar
141;7912787397214210000;0;2;HeXa CSGOPoints.com
142;16247401300527600000;0;2;Ba??
143;14847381364287600000;0;4;Aexis
144;7628572361610200000;0;0;Tellu5
145;819522503553705000;0;2;lul12
146;12382090109686500000;0;2;Piotr (1)
147;1960238503123170000;0;2;Chiligava
148;15541514042548900000;0;0;Korintex/Vortexlight
149;10472420145454900000;0;0;Brunce
150;12307115378938300000;0;2;BOT Keith
151;11826650867344900000;0;2;{S.A.M} Lucas
152;12578261846765100000;0;2;kaira.jonval
153;11140996798817700000;0;2;Yusuf Semiz
154;14907664728525600000;0;2;BadBratwurst
155;16194463832746100000;0;3;Masta Blasta
156;8689192213146840000;0;3;qfuller61
157;17702426549907500000;0;0;Hammer53
158;15302518446994500000;0;0;TwisteN
159;8143976560876470000;0;0;ZkyBox
160;10500867739706900000;0;1;ColdDead
161;13807350178976900000;0;14;Donald Trump (37)
162;9157786927674760000;0;0;taborkid
163;3131798636523780000;0;0;naughtyben
164;4029317562929060000;0;0;rettenator
165;7917676799079770000;0;0;Ziggy1103
166;12109237847806900000;0;1;Saviour
